ID_TRANSACCION;FECHA;CREDITOS
6650634;2000-01-01;6263
4404572;2000-01-01;6469
2334489;2000-01-01;6569
9624682;2000-01-01;6690
7304212;2000-01-01;7135
9728519;2000-01-01;6344
4572471;2000-01-01;6769
4623669;2000-01-01;6875
7504852;2000-01-01;6138
5081505;2000-01-01;6895
1866891;2000-01-01;6305
4621373;2000-01-01;6163
6119877;2000-01-01;7356
3444769;2000-01-01;7378
9280351;2000-01-01;7166
203355;2000-01-01;6486
1362752;2000-01-01;6207
9884633;2000-01-01;6998
5764789;2000-01-01;6669
9795979;2000-01-01;6240
9405648;2000-01-01;6743
5843066;2000-01-01;6121
6213790;2000-01-01;7302
2405413;2000-01-02;6599
4010197;2000-01-02;6441
5658019;2000-01-02;7194
5514709;2000-01-02;6556
371836;2000-01-02;6454
3684702;2000-01-02;6807
7381369;2000-01-02;6265
2399435;2000-01-02;7158
8685377;2000-01-02;6175
2758505;2000-01-02;7407
1371741;2000-01-02;7117
3869315;2000-01-02;6343
1146797;2000-01-02;6082
3147262;2000-01-02;7176
664685;2000-01-02;7029
2979190;2000-01-02;7059
5696411;2000-01-02;7116
9800344;2000-01-02;6175
1107293;2000-01-02;6559
4874183;2000-01-02;6231
3466612;2000-01-02;7240
4645583;2000-01-03;6804
3847389;2000-01-03;6349
4242807;2000-01-03;7348
8088004;2000-01-03;6883
6345035;2000-01-03;7013
3702279;2000-01-03;7263
5615989;2000-01-03;6918
2221690;2000-01-03;6474
591234;2000-01-03;6217
5501218;2000-01-03;6691
7014550;2000-01-03;6370
6267294;2000-01-03;6637
9386029;2000-01-03;7267
7006726;2000-01-03;6513
5988794;2000-01-03;6240
7658158;2000-01-03;6556
6610425;2000-01-03;7299
8611017;2000-01-03;6442
7987739;2000-01-03;6949
869598;2000-01-03;6076
5392895;2000-01-03;6551
8071379;2000-01-03;6486
3431068;2000-01-03;6297
3356415;2000-01-03;6796
974371;2000-01-03;6729
5754237;2000-01-03;7010
1073548;2000-01-03;6438
161087;2000-01-04;7301
6509907;2000-01-04;6398
1596176;2000-01-04;6270
139353;2000-01-04;6736
6584531;2000-01-04;7405
3460011;2000-01-04;6402
7754909;2000-01-04;6982
4359622;2000-01-04;7103
5059617;2000-01-04;6396
5825570;2000-01-04;7058
516880;2000-01-04;6571
7172695;2000-01-04;6928
7533296;2000-01-04;6930
5065050;2000-01-04;6798
913168;2000-01-04;6197
325281;2000-01-04;7202
3882875;2000-01-04;6508
3095765;2000-01-04;6327
7834102;2000-01-04;6130
5695108;2000-01-04;6872
5774719;2000-01-04;6989
171295;2000-01-05;6546
9232582;2000-01-05;7055
7713287;2000-01-05;7286
3545376;2000-01-05;7272
5351035;2000-01-05;7128
3712600;2000-01-05;6942
925816;2000-01-05;6188
8863313;2000-01-05;6293
2126793;2000-01-05;7288
654594;2000-01-05;6893
8636326;2000-01-05;6087
3604473;2000-01-05;6212
7399695;2000-01-05;6970
2304664;2000-01-05;6082
4441747;2000-01-05;6292
786976;2000-01-05;6816
2572189;2000-01-05;7009
8606404;2000-01-05;6955
1341082;2000-01-05;6378
5284502;2000-01-05;7036
6661000;2000-01-05;6395
5234207;2000-01-06;7112
8616999;2000-01-06;6134
6830886;2000-01-06;7417
9505634;2000-01-06;6709
5953584;2000-01-06;6452
8270528;2000-01-06;7267
4401754;2000-01-06;7084
2369042;2000-01-06;7361
2083509;2000-01-06;6521
7840141;2000-01-06;6821
216381;2000-01-06;6847
1621701;2000-01-06;7398
6205525;2000-01-06;6177
9687994;2000-01-06;6487
